order_id,order_date,customer_id,category,product_sku,quantity,unit_price,total,payment_method,status
PO-20000,2026-03-24,C3008,Tools,TOO-125,2,127.04,254.08,card,completed
PO-20001,2025-06-14,C1025,Safety Gear,SAF-532,1,36.87,36.87,card,completed
PO-20002,2026-03-29,C3002,Electrical,ELE-658,1,218.67,218.67,card,completed
PO-20003,2026-04-23,C1012,Cleaning,CLE-448,1,17.63,17.63,ach,completed
PO-20004,2025-10-31,C3006,Office,OFF-718,1,12.87,12.87,card,completed
PO-20005,2025-06-10,C1008,Safety Gear,SAF-400,3,131.33,393.99,ach,completed
PO-20006,2025-05-24,C2014,Electrical,ELE-333,2,443.79,887.58,ach,completed
PO-20007,2026-03-22,C2019,Office,OFF-266,1,31.46,31.46,card,completed
PO-20008,2026-03-22,C3003,Hardware,HAR-646,2,23.11,46.22,card,completed
PO-20009,2026-04-16,C2002,Office,OFF-963,2,14.27,28.54,ach,completed
PO-20010,2025-08-17,C2008,Safety Gear,SAF-997,2,58.27,116.54,card,completed
PO-20011,2025-07-11,C2007,Hardware,HAR-862,1,29.87,29.87,card,completed
PO-20012,2025-07-10,C1054,Safety Gear,SAF-605,1,28.48,28.48,card,completed
PO-20013,2026-03-02,C3000,Tools,TOO-494,1,378.7,378.7,card,completed
PO-20014,2026-04-14,C2009,Electrical,ELE-217,2,255.53,511.06,card,completed
PO-20015,2025-05-02,C3004,Electrical,ELE-996,2,438.19,876.38,ach,completed
PO-20016,2026-03-24,C3000,Safety Gear,SAF-723,1,87.3,87.3,card,cancelled
PO-20017,2026-03-03,C1030,Office,OFF-600,1,112.06,112.06,ach,completed
PO-20018,2026-02-15,C3002,Tools,TOO-187,2,318.37,636.74,invoice,completed
PO-20019,2026-04-03,C3003,Cleaning,CLE-662,1,34.49,34.49,card,completed
PO-20020,2026-05-01,C2007,Office,OFF-508,10,80.79,807.9,card,completed
PO-20021,2025-08-24,C1080,Tools,TOO-446,1,230.56,230.56,card,completed
PO-20022,2025-05-31,C1062,Hardware,HAR-169,5,70.46,352.3,card,completed
PO-20023,2025-08-18,C3006,Safety Gear,SAF-235,2,178.83,357.66,card,completed
PO-20024,2025-08-06,C1083,Tools,TOO-199,2,163.69,327.38,card,refunded
PO-20025,2026-03-27,C1068,Tools,TOO-162,1,158.67,158.67,ach,completed
PO-20026,2025-08-02,C1083,Office,OFF-573,1,111.41,111.41,card,completed
PO-20027,2026-02-01,C2012,Tools,TOO-195,5,329.31,1646.55,card,completed
PO-20028,2025-05-31,C1071,Hardware,HAR-488,1,38.55,38.55,invoice,completed
PO-20029,2026-04-04,C3000,Electrical,ELE-598,1,154.62,154.62,invoice,completed
PO-20030,2025-10-08,C1065,Tools,TOO-151,1,213.45,213.45,ach,completed
PO-20031,2025-06-11,C3009,Hardware,HAR-170,1,57.91,57.91,card,completed
PO-20032,2025-09-04,C2008,Safety Gear,SAF-708,1,34.76,34.76,card,completed
PO-20033,2025-08-13,C1040,Electrical,ELE-833,1,141.56,141.56,card,completed
PO-20034,2025-06-07,C1033,Tools,TOO-569,2,233.6,467.2,card,completed
PO-20035,2025-07-07,C3009,Office,OFF-170,3,49.39,148.17,card,completed
PO-20036,2026-03-31,C3002,Safety Gear,SAF-108,2,119.83,239.66,invoice,completed
PO-20037,2025-09-13,C3003,Tools,TOO-209,2,97.08,194.16,card,completed
PO-20038,2026-04-17,C1054,Electrical,ELE-973,1,235.18,235.18,invoice,completed
PO-20039,2025-09-19,C3008,Tools,TOO-103,1,88.82,88.82,invoice,completed
PO-20040,2026-04-27,C2011,Cleaning,CLE-674,1,10.06,10.06,ach,completed
PO-20041,2026-02-23,C3003,Safety Gear,SAF-251,1,27.53,27.53,card,completed
PO-20042,2026-04-15,C3002,Hardware,HAR-782,1,65.05,65.05,ach,completed
PO-20043,2025-08-30,C3006,Hardware,HAR-919,3,71.94,215.82,card,refunded
PO-20044,2026-04-08,C3007,Electrical,ELE-930,1,96.86,96.86,ach,completed
PO-20045,2025-08-22,C1084,Hardware,HAR-936,5,35.78,178.9,ach,completed
PO-20046,2025-08-07,C2012,Cleaning,CLE-436,1,9.75,9.75,ach,completed
PO-20047,2026-04-13,C2008,Safety Gear,SAF-439,5,40.76,203.8,invoice,completed
PO-20048,2025-05-20,C3001,Tools,TOO-710,1,289.06,289.06,card,completed
PO-20049,2025-11-14,C3003,Hardware,HAR-360,1,41.65,41.65,card,completed
PO-20050,2025-11-03,C2021,Electrical,ELE-438,2,308.62,617.24,card,completed
PO-20051,2025-09-29,C3009,Safety Gear,SAF-230,1,139.69,139.69,card,refunded
PO-20052,2026-02-16,C3009,Office,OFF-515,1,8.05,8.05,card,completed
PO-20053,2026-04-01,C1010,Office,OFF-576,1,83.67,83.67,card,refunded
PO-20054,2025-09-23,C1039,Safety Gear,SAF-779,2,80.33,160.66,ach,cancelled
PO-20055,2025-08-24,C1053,Hardware,HAR-250,1,28.65,28.65,card,cancelled
PO-20056,2026-03-19,C3000,Safety Gear,SAF-299,2,89.12,178.24,card,completed
