return_id,order_id,return_date,reason,refund_amount,restocked
RET-5000,PO-20002,2026-04-07,wrong size,218.67,yes
RET-5001,PO-20076,2026-05-23,not as described,40.36,yes
RET-5002,PO-20123,2025-09-09,ordered by mistake,629.32,yes
RET-5003,PO-20124,2026-04-11,wrong size,252.43,yes
RET-5004,PO-20126,2026-02-08,changed my mind,198.75,yes
RET-5005,PO-20161,2025-10-18,wrong size,216.45,no
RET-5006,PO-20233,2025-08-14,not as described,28.14,yes
RET-5007,PO-20255,2025-07-23,late delivery,214.34,yes
RET-5008,PO-20264,2025-07-04,ordered by mistake,119.82,yes
RET-5009,PO-20267,2025-10-14,damaged in transit,74.27,yes
RET-5010,PO-20293,2026-03-18,not as described,40.24,no
RET-5011,PO-20311,2026-01-03,ordered by mistake,186.62,yes
RET-5012,PO-20312,2025-07-04,damaged in transit,462.3,yes
RET-5013,PO-20319,2025-10-23,changed my mind,251.32,yes
RET-5014,PO-20341,2025-06-27,changed my mind,230.26,yes
RET-5015,PO-20359,2026-01-19,late delivery,32.98,yes
RET-5016,PO-20421,2026-02-19,damaged in transit,150.9,no
RET-5017,PO-20422,2025-06-08,quality issue,49.26,no
RET-5018,PO-20432,2025-12-13,quality issue,380.63,no
RET-5019,PO-20464,2026-01-16,not as described,14.93,yes
RET-5020,PO-20501,2025-11-19,quality issue,143.46,yes
RET-5021,PO-20504,2026-02-23,wrong size,20.91,no
RET-5022,PO-20532,2026-02-04,changed my mind,131.01,yes
RET-5023,PO-20549,2026-02-24,changed my mind,24.34,yes
RET-5024,PO-20578,2026-02-11,not as described,48.39,yes
RET-5025,PO-20626,2025-10-20,ordered by mistake,14.7,no
RET-5026,PO-20658,2026-03-29,damaged in transit,298.89,yes
RET-5027,PO-20659,2025-07-23,ordered by mistake,210.03,yes
RET-5028,PO-20663,2025-09-11,changed my mind,151.82,no
RET-5029,PO-20755,2025-09-20,quality issue,124.43,no
RET-5030,PO-20761,2025-09-22,damaged in transit,91.7,yes
RET-5031,PO-20784,2025-07-23,late delivery,214.98,yes
RET-5032,PO-20796,2025-09-30,not as described,420.34,yes
